"tagID","tagProjectID","dateBin","mfgID","period","tagDeployID","utcYearStart","utcMonthStart","utcDayStart","utcHourStart","utcMinuteStart","utcYearEnd","utcMonthEnd","utcDayEnd","utcHourEnd","utcMinuteEnd","deferSec","speciesName","bandNumber","markerNumber","markerType","decimalLatitude","decimalLongitude","elevationMeters","sex","age","weightGrams","wingMillimeters","tarsusMillimeters","culmenMillimeters","billMillimeters","headMillimeters","fatScore","comments","test"
"33221","4","2019-1","41","10.901000022888184","21615","2019","5","6","17","30","","","","","","0.0","Calidris canutus","1262-02146","PLC","Dk GRN flag","32.55030000","-80.19540000","1.0","U","ad","132.0","","","","","","","Walking at release, did not fly","false"
"33222","4","2019-1","42","10.900199890136719","21616","2019","5","6","17","30","","","","","","0.0","Calidris canutus","1262-04502","PPC","Dk GRN flag","32.55030000","-80.19540000","1.0","U","ad","120.0","","","","","","","","false"
"33223","4","2019-1","43","10.901000022888184","21617","2019","5","6","17","30","","","","","","0.0","Calidris canutus","1262-04503","PPT","Dk GRN flag","32.55030000","-80.19540000","1.0","U","imm","121.0","","","","","","","","false"
"33224","4","2019-1","44","10.901000022888184","21618","2019","5","6","17","30","","","","","","0.0","Calidris canutus","1262-04504","PPM","Dk GRN flag","32.55030000","-80.19540000","1.0","U","ad","138.0","","","","","","","","false"
"33225","4","2019-1","45","10.900899887084961","21619","2019","5","22","17","0","","","","","","0.0","Arenaria interpres","1262-04681","99=","LIME flag","32.06620000","-80.89310000","1.0","U","ad","150.0","","","","","","","","false"
"33226","4","2019-1","46","10.901000022888184","21620","2019","5","22","17","0","","","","","","0.0","Arenaria interpres","1262-04680","=69","LIME flag","32.06620000","-80.89310000","1.0","U","ad","137.0","","","","","","","","false"
"33227","4","2019-1","47","10.901000022888184","21621","2019","5","22","17","0","","","","","","0.0","Arenaria interpres","1262-04682","=89","LIME flag","32.06620000","-80.89310000","1.0","U","ad","163.0","","","","","","","","false"
"33228","4","2019-1","48","10.900899887084961","21622","2019","5","22","17","0","","","","","","0.0","Arenaria interpres","1262-04684","=YJ","LIME flag","32.06620000","-80.89310000","1.0","U","ad","152.0","","","","","","","","false"
"33229","4","2019-1","49","10.901000022888184","21623","2019","5","22","17","0","","","","","","0.0","Arenaria interpres","1262-04685","=YU","LIME flag","32.06620000","-80.89310000","1.0","U","ad","156.0","","","","","","","","false"
"33230","4","2019-1","50","10.900799751281738","21624","2019","5","22","17","0","","","","","","0.0","Arenaria interpres","1262-04683","=YL","LIME flag","32.06620000","-80.89310000","1.0","U","ad","149.0","","","","","","","","false"
"33231","4","2019-1","51","10.900300025939941","21625","2019","5","22","17","0","","","","","","0.0","Arenaria interpres","1262-04693","=86","LIME flag","32.06620000","-80.89310000","1.0","U","ad","153.0","","","","","","","","false"
"33232","4","2019-1","52","10.89900016784668","21626","2019","5","22","17","0","","","","","","0.0","Arenaria interpres","1262-04687","VH=","LIME flag","32.06620000","-80.89310000","1.0","U","ad","146.0","","","","","","","","false"
"33233","4","2019-1","53","10.900899887084961","21627","2019","5","22","17","0","","","","","","0.0","Arenaria interpres","1262-04688","=58","LIME flag","32.06620000","-80.89310000","1.0","U","ad","141.0","","","","","","","","false"
"33234","4","2019-1","54","10.901000022888184","21628","","","","","","","","","","","0.0","","","","","","","","U","unk","","","","","","","","","false"
"33235","4","2019-1","55","10.900899887084961","21629","2019","5","6","17","30","","","","","","0.0","Calidris canutus","1262-02180","PTY","Dk GRN flag","32.55030000","-80.19540000","1.0","U","imm","122.0","","","","","","","","false"
"33236","4","2019-1","56","10.900300025939941","21630","2019","5","6","17","30","","","","","","0.0","Calidris canutus","1262-04536","PCX","Dk GRN flag","32.55030000","-80.19540000","1.0","U","ad","137.0","","","","","","","","false"
"33237","4","2019-1","57","10.899499893188477","21631","2019","5","6","17","30","","","","","","0.0","Calidris canutus","1262-04537","PCT","Dk GRN flag","32.55030000","-80.19540000","1.0","U","imm","113.0","","","","","","","","false"
"33238","4","2019-1","58","10.901100158691406","21632","2019","5","22","17","0","","","","","","0.0","Arenaria interpres","1262-04689","=41","LIME flag","32.06620000","-80.89310000","1.0","U","ad","137.0","","","","","","","","false"
"33239","4","2019-1","59","10.901000022888184","21633","2019","5","22","17","0","","","","","","0.0","Arenaria interpres","1262-04686","=YM","LIME flag","32.06620000","-80.89310000","1.0","U","ad","153.0","","","","","","","","false"
"33240","4","2019-1","60","10.900899887084961","21634","2019","5","6","17","30","","","","","","0.0","Calidris canutus","1262-02178","PTU","Dk GRN flag","32.55030000","-80.19540000","1.0","U","ad","110.0","","","","","","","","false"
"33241","4","2019-1","62","10.901000022888184","21635","2019","5","6","17","30","","","","","","0.0","Calidris canutus","1262-04534","PCP","Dk GRN flag","32.55030000","-80.19540000","1.0","U","ad","138.0","","","","","","","","false"
"33242","4","2019-1","63","10.900799751281738","21636","2019","5","6","17","30","","","","","","0.0","Calidris canutus","1262-04535","PCM","Dk GRN flag","32.55030000","-80.19540000","1.0","U","ad","140.0","","","","","","","","false"
"33243","4","2019-1","64","10.900899887084961","21637","2019","5","6","17","30","","","","","","0.0","Calidris canutus","1262-02179","PTV","Dk GRN flag","32.55030000","-80.19540000","1.0","U","ad","142.0","","","","","","","","false"
"33244","4","2019-1","65","10.900899887084961","21638","2019","5","6","17","30","","","","","","0.0","Calidris canutus","1262-02175","PTL","Dk GRN flag","32.55030000","-80.19540000","1.0","U","ad","131.0","","","","","","","","false"
"33245","4","2019-1","66","10.900199890136719","21639","2019","5","6","17","30","","","","","","0.0","Calidris canutus","1262-04531","PCY","Dk GRN flag","32.55030000","-80.19540000","1.0","U","ad","143.0","","","","","","","","false"
"33246","4","2019-1","67","10.900500297546387","21640","2019","5","6","17","30","","","","","","0.0","Calidris canutus","1262-02176","PTK","Dk GRN flag","32.55030000","-80.19540000","1.0","U","ad","146.0","","","","","","","","false"
"33247","4","2019-1","68","10.901000022888184","21641","2019","5","6","17","30","","","","","","0.0","Calidris canutus","1262-04532","PCN","Dk GRN flag","32.55030000","-80.19540000","1.0","U","ad","149.0","","","","","","","","false"
