mfgID,motusTagID,tagDeployID,site_date,runID,antBin,pulseCount,numHits,runLen,longRun,inspectFlag,keep
52,33232,21626,Wheeler Fire Tower: 2019-05-30,63093450,S,157,21,6,6,excessive burstSlop,TRUE
52,33232,21626,Wheeler Fire Tower: 2019-05-30,58086444,S,157,21,4,2,SG: <3 consecutive bursts,TRUE
52,33232,21626,Wheeler Fire Tower: 2019-05-30,58086445,N,NA,51,4,2,SG: <3 consecutive bursts,TRUE
52,33232,21626,Wheeler Fire Tower: 2019-05-30,63093452,S,157,21,4,2,SG: <3 consecutive bursts,TRUE
52,33232,21626,Wheeler Fire Tower: 2019-05-30,63093453,N,NA,51,4,2,SG: <3 consecutive bursts,TRUE
52,33232,21626,Wheeler Fire Tower: 2019-05-30,58086446,S,157,21,6,2,SG: <3 consecutive bursts,TRUE
52,33232,21626,Wheeler Fire Tower: 2019-05-30,63093454,S,157,21,6,2,SG: <3 consecutive bursts,TRUE
52,33232,21626,Wheeler Fire Tower: 2019-05-30,58086447,N,NA,51,11,10,excessive burstSlop,TRUE
52,33232,21626,Wheeler Fire Tower: 2019-05-30,63093455,N,NA,51,11,10,excessive burstSlop,TRUE
52,33232,21626,Short Hills Provincial Park: 2019-05-30,54619211,W,3791,7,7,4,excessive burstSlop,TRUE
52,33232,21626,Short Hills Provincial Park: 2019-05-30,67706885,W,3791,7,7,4,excessive burstSlop,FALSE
