motusTagID,spp,age,tagDeployID,start_recvSiteName,start_recvDeployID,start_recvDeployLat,start_recvDeployLon,start_time,end_recvSiteName,end_recvDeployID,end_recvDeployLat,end_recvDeployLon,end_time,traj_len,traj_net_disp,traj_dur_h,traj_straightness,groundspeed_net,groundspeed_traj,brng_init,uwind,vwind,tailwind,keep,notes
28490,Ruddy Turnstone,ad,19556,Nanticoke,4306,42.8084,-80.0439,2018-05-31T09:59:53Z,Priceville,3989,44.2082,-80.6122,2018-05-31T23:39:27Z,308329.6778,162168.126,13.65938353,0.525956915,3.297857592,6.270204841,343.7329589,-1,8.399994,8.343828091,FALSE,shorter subset
28490,Ruddy Turnstone,ad,19556,Old Cut,5061,42.5829,-80.3984,2018-05-31T21:03:21Z,Priceville,3989,44.2082,-80.6122,2018-05-31T23:39:27Z,269971.8786,181401.2219,2.601743472,0.671926361,19.36748524,28.82382115,354.5939715,0.5,5.599991,5.52797603,FALSE,shorter subset
28490,Ruddy Turnstone,ad,19556,BSC HQ,2146,42.6154,-80.4582,2018-05-31T20:56:37Z,Priceville,3989,44.2082,-80.6122,2018-05-31T23:39:27Z,263879.1994,177401.4165,2.714012778,0.672282684,18.1569415,27.00789702,356.0209677,1.5,6.099991,5.981199933,FALSE,shorter subset
28490,Ruddy Turnstone,ad,19556,Walsingham Super Tow,2429,42.6354,-80.5577,2018-05-31T21:13:17Z,Priceville,3989,44.2082,-80.6122,2018-05-31T23:39:27Z,255419.712,174796.8566,2.436086444,0.684351475,19.93142833,29.1245494,358.571855,0.5,5.599991,5.585789835,FALSE,shorter subset
28490,Ruddy Turnstone,ad,19556,Turkey Point,3121,42.7102,-80.3573,2018-05-31T21:07:25Z,Priceville,3989,44.2082,-80.6122,2018-05-31T23:39:27Z,237010.5095,167704.4562,2.533955,0.707582362,18.38413514,25.98161871,353.0215921,0.5,5.599991,5.497758666,FALSE,shorter subset
28490,Ruddy Turnstone,ad,19556,Langton,3005,42.7259,-80.5623,2018-05-31T21:23:23Z,Priceville,3989,44.2082,-80.6122,2018-05-31T23:39:27Z,220125.3294,164737.3396,2.267634222,0.748379753,20.17978546,26.96463311,358.6125745,0.5,5.599991,5.586242849,FALSE,shorter subset
28498,Ruddy Turnstone,ad,19564,"Santee NWR, SC",4446,33.5338,-80.4313,2018-05-29T00:32:40Z,Fort Custer Training Center,4667,42.3326,-85.2995,2018-05-29T15:15:40Z,1065790.942,1065790.942,14.71663283,1,20.11690057,20.11690057,337.8047231,-3,7,7.614605487,TRUE,
28500,Ruddy Turnstone,ad,19566,PARC SGL223,4607,39.772,-80.006,2018-05-26T07:25:07Z,Pinery_Provincial_Pa,3960,43.2497,-81.8249,2018-05-26T18:08:23Z,461097.6167,414993.0783,10.72097206,0.900011328,10.7523697,11.94692707,339.1371457,2.699997,5.099991,3.804056876,TRUE,
28500,Ruddy Turnstone,ad,19566,Stutchbury,4215,41.7859,-79.9504,2018-05-26T10:08:40Z,Pinery_Provincial_Pa,3960,43.2497,-81.8249,2018-05-26T18:08:23Z,237394.6984,223970.1796,7.995133361,0.943450638,7.781476052,8.247888909,317.179712,2.300003,1.5,-0.463080648,FALSE,shorter subset
28500,Ruddy Turnstone,ad,19566,Girard,4599,41.9856,-80.3379,2018-05-26T10:33:49Z,Pinery_Provincial_Pa,3960,43.2497,-81.8249,2018-05-26T18:08:23Z,198325.1194,186012.0862,7.576045278,0.937914908,6.820184151,7.271644891,319.5169537,2.300003,1.5,-0.352317735,FALSE,shorter subset
28505,Ruddy Turnstone,ad,19657,"Santee NWR, SC",4446,33.5338,-80.4313,2018-05-29T00:32:05Z,Fletcher,4694,44.5413,-84.8644,2018-05-29T18:21:04Z,1285542.074,1280341.303,17.81621925,0.995954415,19.96216802,20.04325471,343.9334023,-3,7,7.556848091,TRUE,
28506,Ruddy Turnstone,ad,19658,Holiday_Beach_CA,4054,42.0377,-83.0306,2018-05-27T01:44:24Z,Clear Lake,4697,45.1565,-84.1872,2018-05-27T06:27:05Z,393312.9447,358866.4555,4.711490694,0.91241964,21.15787401,23.18875338,345.3128062,-0.1000061,2.199997,2.153466601,TRUE,
28506,Ruddy Turnstone,ad,19658,Pointe Mouillee,4285,42.0096,-83.1862,2018-05-27T01:51:10Z,Clear Lake,4697,45.1565,-84.1872,2018-05-27T06:27:05Z,380050.6664,358850.6982,4.598776,0.944218048,21.67549572,22.95602777,347.3235377,-0.1000061,2.199997,2.168317463,FALSE,shorter subset
28507,Ruddy Turnstone,ad,19659,"Santee NWR, SC",4446,33.5338,-80.4313,2018-05-29T00:32:00Z,Fletcher,4694,44.5413,-84.8644,2018-05-29T18:22:32Z,1313717.405,1280356.584,17.84217597,0.974605785,19.93336503,20.45274646,343.9334023,-3,7,7.556848091,TRUE,
28507,Ruddy Turnstone,ad,19659,Fort Custer Training Center,4667,42.3326,-85.2995,2018-05-29T15:00:36Z,Fletcher,4694,44.5413,-84.8644,2018-05-29T18:22:32Z,247905.6246,247903.6966,3.365560222,0.999992223,20.46082477,20.46098389,8.020008859,-2.699997,-1,-1.366920056,FALSE,shorter subset
28508,Ruddy Turnstone,ad,19660,Snowshoe Fire Tower,4208,41.0263,-77.9591,2018-05-26T11:58:06Z,Gerdau,4710,43.8487,-78.9081,2018-05-26T18:34:13Z,323088.7063,323088.7063,6.602026556,1,13.59383548,13.59383548,346.3331401,5.199997,3,1.686422525,TRUE,
28508,Ruddy Turnstone,ad,19660,Gerdau,4710,43.8487,-78.9081,2018-05-26T23:57:48Z,Longridge,4683,51.8247,-80.691,2018-05-27T16:54:13Z,897514.071,896739.3804,16.94018383,0.999136849,14.70434293,14.71704597,352.0962896,-2.800003,-0.40000916,-0.011184553,TRUE,
28510,Ruddy Turnstone,ad,19662,Snowshoe Fire Tower,4208,41.0263,-77.9591,2018-05-26T11:06:35Z,Hilliardton,3279,47.7408,-79.6989,2018-05-27T03:17:38Z,759133.5625,758828.5985,16.18419928,0.999598274,13.02416747,13.02940173,350.0765647,5.199997,3,2.058990786,TRUE,
28510,Ruddy Turnstone,ad,19662,Uphill,4243,44.7414,-79.0084,2018-05-26T23:49:31Z,Moosonee,3280,51.285,-80.6238,2018-05-27T06:43:02Z,737450.0053,737449.9855,6.891727556,0.999999973,29.72363846,29.72363926,351.1906998,-2.800003,-0.40000916,0.033519474,FALSE,overlap
28510,Ruddy Turnstone,ad,19662,Hilliardton,3279,47.7408,-79.6989,2018-05-27T03:22:58Z,Moosonee,3280,51.285,-80.6238,2018-05-27T06:43:02Z,399825.8732,399825.8732,3.334333583,1,33.30882762,33.30882762,350.7067655,-4.699997,3.199997,3.916986162,TRUE,
33193,Ruddy Turnstone,ad,21587,Rondeau Provincial Park,4040,42.2824,-81.8411,2019-05-29T16:14:35Z,Chase Bridge,5526,44.5843,-84.555,2019-05-29T20:50:01Z,435917.8792,337133.6638,4.590581944,0.773388016,20.40008022,26.37754891,320.2572117,2.0999908,0.80000305,-0.727472595,TRUE,
33193,Ruddy Turnstone,ad,21587,St.Clair NWA,3955,42.3787,-82.3998,2019-05-29T18:04:00Z,Chase Bridge,5526,44.5843,-84.555,2019-05-29T20:50:01Z,388639.2146,300721.2913,2.766935583,0.773780102,30.1899663,39.01620914,325.3038276,2.0999908,0.80000305,-0.53761826,FALSE,shorter subset
33225,Ruddy Turnstone,ad,21619,PARC Honey Hut,4634,41.4907,-81.9337,2019-05-26T17:15:01Z,Fletcher,5534,44.5413,-84.8644,2019-05-27T04:14:54Z,455509.8052,414581.3977,10.99807661,0.910148131,10.47105812,11.50478451,325.8089865,2.0999908,0.099990845,-1.097388192,FALSE,suspect detection times (UTC offset issue?)
33225,Ruddy Turnstone,ad,21619,Hillman_Marsh,4850,42.0427,-82.5144,2019-05-27T02:07:36Z,Fletcher,5534,44.5413,-84.8644,2019-05-27T04:14:54Z,377459.0224,336757.1582,2.121549083,0.892168787,44.09214748,49.42130695,326.3101617,1.8999939,-1.6000061,-2.385209762,FALSE,suspect detection times (UTC offset issue?)
